,cardname,text,cmc,mana,type,Type
0,Air Elemental,Flying,5,{3}{U}{U},Creature - Elemental,
1,Animate Artifact,"Enchant artifact
As long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its mana value.",4,{3}{U},Enchantment - Aura,
2,Animate Dead,"Enchant creature card in a graveyard
When Animate Dead enters the battlefield, if it's on the battlefield, it loses ""enchant creature card in a graveyard"" and gains ""enchant creature put onto the battlefield with Animate Dead."" Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.
Enchanted creature gets -1/-0.",2,{1}{B},Enchantment - Aura,
3,Animate Wall,"Enchant Wall
Enchanted Wall can attack as though it didn't have defender.",1,{W},Enchantment - Aura,
4,Ankh of Mishra,"Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.",2,{2},Artifact,
5,Armageddon,Destroy all lands.,4,{3}{W},Sorcery,
6,Aspect of Wolf,"Enchant creature
Enchanted creature gets +X/+Y, where X is half the number of Forests you control, rounded down, and Y is half the number of Forests you control, rounded up.",2,{1}{G},Enchantment - Aura,
7,Badlands,({T}: Add {B} or {R}.),0,,Land - Swamp Mountain,
8,Bad Moon,Black creatures get +1/+1.,2,{1}{B},Enchantment,
9,Basalt Monolith,"Basalt Monolith doesn't untap during your untap step.
{T}: Add {C}{C}{C}.
{3}: Untap Basalt Monolith.",3,{3},Artifact,
10,Bayou,({T}: Add {B} or {G}.),0,,Land - Swamp Forest,
11,Benalish Hero,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",1,{W},Creature - Human Soldier,
12,Berserk,"Cast this spell only before the combat damage step.
Target creature gains trample and gets +X/+0 until end of turn, where X is its power. At the beginning of the next end step, destroy that creature if it attacked this turn.",1,{G},Instant,
13,Birds of Paradise,"Flying
{T}: Add one mana of any color.",1,{G},Creature - Bird,
14,Black Knight,"First strike (This creature deals combat damage before creatures without first strike.)
Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)",2,{B}{B},Creature - Human Knight,
15,Black Vise,"As Black Vise enters the battlefield, choose an opponent.
At the beginning of the chosen player's upkeep, Black Vise deals X damage to that player, where X is the number of cards in their hand minus 4.",1,{1},Artifact,
16,Black Ward,"Enchant creature
Enchanted creature has protection from black. This effect doesn't remove Black Ward.",1,{W},Enchantment - Aura,
17,Blaze of Glory,"Cast this spell only during combat before blockers are declared.
Target creature defending player controls can block any number of creatures this turn. It blocks each attacking creature this turn if able.",1,{W},Instant,
18,Blessing,"Enchant creature
{W}: Enchanted creature gets +1/+1 until end of turn.",2,{W}{W},Enchantment - Aura,
19,Blue Elemental Blast,"Choose one -
• Counter target red spell.
• Destroy target red permanent.",1,{U},Instant,
20,Blue Ward,"Enchant creature
Enchanted creature has protection from blue. This effect doesn't remove Blue Ward.",1,{W},Enchantment - Aura,
21,Bog Wraith,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),4,{3}{B},Creature - Wraith,
22,Braingeyser,Target player draws X cards.,2,{X}{U}{U},Sorcery,
23,Burrowing,"Enchant creature
Enchanted creature has mountainwalk. (It can't be blocked as long as defending player controls a Mountain.)",1,{R},Enchantment - Aura,
