card
"Kangee, Sky Warden"
Command tower
Bident of Thassa
Favorable Winds
Path to Exile
Kangee's Lieutenant
Temple of Enlightenment
Battle Screech
Skycat Sovereign
Gravitational Shift
Talisman of Progress
Meticulous Archive
Moorland Haunt
Negate
Coveted Jewel
Austere Command
Distant Melody
Skycloud Expanse
Irrigated Farmland
Swords to Plowshares
Empyrean Eagle
Port Town
Prairie Stream
Migratory Route
Thieving Magpie
Steel-plume Marshal
Lieutenant Kirtar
Path of Ancestry
Rally of Wings
Warden of Evos Isle
Azorius Signet
Arcane Signet
Generous Gift
Azorius Chancery
"Sephara, Sky's Blade"
Winged Words
Staggering Insight
Counterspell
Cartographer's Hawk
