,Card,Tags
0,Circle of Protection: Blue,"['artist matters', 'bounce-self', 'circle of protection', 'damage prevention-you', 'damage prevention', 'un-design', 'un-set mechanics']"
1,Circle of Protection: Green,-- FAILED --
2,Circle of Protection: Red,"['artist matters', 'bounce-self', 'circle of protection', 'damage prevention-you', 'damage prevention', 'un-design', 'un-set mechanics']"
3,Circle of Protection: White,"['artist matters', 'bounce-self', 'circle of protection', 'damage prevention-you', 'damage prevention', 'un-design', 'un-set mechanics']"
4,Fire Elemental,['notags']
5,Gray Ogre,['notags']
6,Holy Strength,['notags']
7,Ironroot Treefolk,['notags']
8,Pearled Unicorn,['notags']
9,Scathe Zombies,['notags']
10,Unholy Strength,['meme']
11,Water Elemental,['notags']
12,Circle of Protection: Black,"['artist matters', 'bounce-self', 'circle of protection', 'damage prevention-you', 'damage prevention', 'un-design', 'un-set mechanics']"
13,Circle of Protection: Artifacts,-- FAILED --
14,Staff of Zegon,['notags']
15,Barbary Apes,['notags']
16,Crimson Kobolds,['notags']
17,Crookshank Kobolds,['notags']
18,Divine Transformation,['notags']
19,Hell Swarm,['notags']
20,Shield Wall,['notags']
21,Goblin Hero,['notags']
22,Marsh Gas,['notags']
23,Scarwood Goblins,['notags']
24,Goblin Warrens,"['mana sink', 'noncreature tribal', 'repeatable token generator', 'sacrifice outlet-creature', 'tribal-goblin', 'sacrifice outlet', 'typal', 'typal-creature']"
25,Icatian Town,['notags']
26,Forbidden Lore,['notags']
27,Scaled Wurm,['notags']
28,Tor Giant,['notags']
29,Dwarven Trader,['notags']
30,Helm of Obedience,"['mana sink', 'mill', 'sacrifice self', 'theft-creature', 'control changing effects', 'theft']"
31,Inheritance,"['death trigger', 'repeatable draw', 'single english word name', 'card advantage', 'card names', 'draw', 'leaves battlefield trigger']"
32,Insidious Bookworms,"['death trigger-self', 'discard', 'random discard', 'death trigger', 'leaves battlefield trigger']"
33,Benthic Djinn,['notags']
34,Ogre Enforcer,['notags']
35,Gorilla Warrior,['creature type erratum']
36,Aura of Silence,"['cost increaser', 'disenchant/naturalize', 'hate-artifact', 'hate-enchantment', 'removal-artifact-destroy', 'removal-enchantment-destroy', 'sacrifice self', 'removal', 'removal-artifact', 'removal-enchantment']"
37,Circle of Protection: Shadow,-- FAILED --
38,Lowland Giant,['notags']
39,Reflecting Pool,['notags']
40,Rootwalla,['notags']
41,Trained Armodon,['notags']
42,Lab Rats,['notags']
43,Plated Rootwalla,['notags']
44,Barbtooth Wurm,['notags']
45,Bear Cub,['notags']
46,Dakmor Scorpion,['notags']
47,Goblin Cavaliers,['notags']
48,Golden Bear,['notags']
49,Obsidian Giant,['notags']
50,Plated Wurm,['notags']
51,Coral Merfolk,['notags']
