,level_0,Card,Tags
0,0,Hurricane,"['activate from hand', 'hate-flying', 'hurricane', 'mana sink', 'removal-creature-burn', 'sweeper-creature-burn', 'burn', 'removal', 'removal-creature', 'sweeper', 'sweeper-creature']"
1,1,Air Elemental,"['evasion', 'french vanilla', 'flavors of vanilla']"
2,2,Animate Artifact,"['alliteration', 'animate artifact', 'mana value matters', 'animate', 'card names', 'type change']"
3,3,Animate Dead,"['enchant change', 'meme', 'reanimate-creature', 'reanimate-from-any', 'rules nightmare', 'reanimate', 'reanimate-from-opponent', 'recursion', 'recursion-creature']"
4,4,Animate Wall,"['tribal-wall', 'turns off defender', 'unique enchant target', 'typal', 'typal-creature']"
5,5,Ankh of Mishra,"['burn player', 'hate-landfall', 'hate-ramp', 'landfall', 'namesake-spell', 'prison', 'symmetrical', 'burn', 'card names', 'lands matter']"
6,6,Armageddon,"['single english word name', 'sweeper-land-destroy', 'symmetrical', 'card names', 'sweeper', 'sweeper-land']"
7,7,Aspect of Wolf,"['fraction', 'synergy-forest']"
8,8,Badlands,"['cycle-abu-dual-land', 'nonbasic-basic-land-type', 'single english word name', 'card names', 'cycle', 'cycle-dual-land', 'cycle-land']"
9,9,Bad Moon,"['anthem', 'inscryption achievement', 'symmetrical', 'synergy-black']"
10,10,Basalt Monolith,"['adds multiple mana', ""doesn't untap"", 'mana rock', 'untaps self', 'mana producer', 'ramp']"
11,11,Bayou,"['cycle-abu-dual-land', 'nonbasic-basic-land-type', 'single english word name', 'card names', 'cycle', 'cycle-dual-land', 'cycle-land']"
12,12,Benalish Hero,"['creature type erratum', 'french vanilla', 'flavors of vanilla']"
13,13,Berserk,"['attack trigger', 'berserk', 'delayed triggered ability', 'martyr', 'punny name', 'synergy-attacker-self', 'card names', 'sacrifice self']"
14,14,Birds of Paradise,"['commonly nicknamed', 'creature type erratum', 'cycle-lea-slush-art', 'evasion', 'mana dork', 'card names', 'cycle', 'mana producer', 'ramp']"
15,15,Black Knight,"['creature type erratum', 'evasion', 'french vanilla', 'hate-white', 'mirrored knight', 'flavors of vanilla', 'hate-color']"
16,16,Black Vise,"['burn player', 'faux targeting', 'hand size hate', 'burn', 'hand size matters']"
17,17,Black Ward,"['cycle-lea-ward', 'gives protection', 'gives-evasion', 'hate-black', 'protects-creature', 'color ward', 'cycle', 'hate-color', 'protects-permanent']"
18,18,Blaze of Glory,"['block unlimited', 'combat timing restriction', 'force blocker', 'block additional', 'casting restriction', 'combat manipulation', 'timing restriction']"
19,19,Blessing,"['shade pump', 'single english word name', 'card names']"
20,20,Blue Elemental Blast,"['alliteration', 'color break', 'counterspell', 'hate-red', 'interrupt', 'modal', 'removal-permanent-destroy', 'blue effect', 'card names', 'deprecated card types', 'hate-color', 'removal', 'removal-artifact', 'removal-battle', 'removal-creature', 'removal-enchantment', 'removal-land', 'removal-permanent', 'removal-planeswalker']"
21,21,Blue Ward,"['cycle-lea-ward', 'gives protection', 'gives-evasion', 'hate-blue', 'protects-creature', 'color ward', 'cycle', 'hate-color', 'protects-permanent']"
22,22,Bog Wraith,"['creature type erratum', 'french vanilla walker', 'evasion', 'flavors of vanilla', 'french vanilla']"
23,23,Braingeyser,"['draw', 'card advantage']"
24,24,Burrowing,"['gives mountainwalk', 'single english word name', 'card names', 'gives landwalk', 'gives-evasion']"
25,25,Camouflage,"['combat timing restriction', 'control blocker', 'pile', 'rules nightmare', 'single english word name', 'card names', 'casting restriction', 'combat manipulation', 'timing restriction']"
26,26,Castle,"['cycle-eld-castle', 'mana sink', 'repeatable token generator', 'synergy-plains', 'utility land', 'virtual legendary', 'cycle', 'cycle-land', 'cycle-mono-land']"
27,27,Celestial Prism,['mana filter']
28,28,Chaoslace,"['color change', 'cycle-lace', 'interrupt', 'untracked indefinite effect', 'cycle', 'deprecated card types', 'indefinite effect']"
29,29,Circle of Protection: Blue,[]
30,30,Circle of Protection: Green,[]
31,31,Circle of Protection: Red,[]
32,32,Circle of Protection: White,[]
